I'm in good health.	Olen terve.
Years passed.	Vuodet kuluivat.
Let's move the table.	Siirretään pöytä.
It's the third of October.	On kolmas lokakuuta.
He tried to gain time by making a longer speech.	Hän yritti voittaa aikaa pitämällä pidemmän puheen.
Tom has a good reason for being absent today.	Tomilla on hyvä syy olla poissa tänään.
Tom's glass was empty.	Tomin lasi oli tyhjä.
He prefers French to German.	Hän pitää enemmän ranskasta kuin saksasta.
We need some more time.	Tarvitsemme jonkin verran lisää aikaa.
The archer killed the deer.	Jousimies tappoi peuran.
Tom has lost control.	Tom on kadottanut kontrollin.
I really like your work.	Pidän todella paljon työstäsi.
It's a nice party.	Kivat juhlat.
I was so unhappy.	Olin niin onneton.
Do you have shoes and socks?	Onko teillä kenkiä ja sukkia?
I am like my brother.	Olen veljeni kaltainen.
Come a bit closer.	Tule vähän lähemmäksi.
Tom gave Mary something to drink.	Tom antoi Marylle jotakin juotavaa.
He spent the evening reading a book.	Hän vietti illan lukien kirjaa.
Tom may come at any time.	Tom voi tulla milloin vain.
New blankets were distributed to the poor.	Uusia peittoja jaettiin köyhille.
He ran at full speed.	Hän juoksi täyttä vauhtia.
Every successful writer has a drawer full of rejection letters.	Jokaisella menestyksekkäällä kirjailijalla on lipasto täynnä hylkäyskirjeitä.
My wife left me.	Vaimoni jätti minut.
A fox came along.	Kettu ilmestyi paikalle.
All of our meetings are in French.	Kaikki meidän kokouksemme ovat ranskaksi.
Tom never spoke about that.	Tomi ei puhunut siitä koskaan.
Tom thought something was wrong with his car.	Tom luuli, että hänen autossaan on jotain vialla.
The soldiers will soon return to camp.	Sotilaat palaavat pian leiriin.
I'm a bit shy.	Olen vähän ujo.
I can't read French, nor can I speak it.	En osaa lukea ranskaa enkä puhua sitä.
Three voted against the idea.	Kolme äänesti ajatusta vastaan.
You'll forget about me someday.	Sinä kyllä unohdat minut jonain päivänä.
Tom can play the flute.	Tom osaa soittaa huilua.
Tom promised to meet me last night, but he never showed up.	Tom lupasi tavata minut eilen illalla, mutta hän ei koskaan ilmestynyt paikalle.
You have to memorize this sentence.	Sinun täytyy painaa mieleesi tämä lause.
He seems to have been poor when he was young.	Hän vaikuttaa olleen köyhä nuorena.
I usually read while I eat.	Tavallisesti luen syödessäni.
Tom is slow.	Tom on hidas.
The tiger escaped from the zoo.	Tiikeri karkasi eläintarhasta.
I haven't actually met Tom yet.	En ole itse asiassa vielä tavannut Tomia.
I'd like to study in Paris.	Haluaisin opiskella Pariisissa.
We have just bought two pieces of furniture.	Olemme juuri ostaneet kaksi huonekalua.
Tom seemed to know what he wanted.	Tom vaikutti tietävän mitä hän halusi.
Tom doesn't seem to like himself very much.	Tom ei näytä pitävän itsestään kovin paljoa.
Tom won again.	Tom voitti taas.
Where's Tom today?	Missä Tom on tänään?
Does that frighten you?	Pelottaako se sinua?
What time do you get out of class?	Mihin aikaan pääset luokasta?
Hi! How are you?	Terve, mitä kuuluu?
I waited a long time.	Odotin pitkään.
He has a talent for music.	Hänellä on lahjoja musiikkiin.
Get rid of the gun.	Hankkiudu eroon aseesta.
Tom wished he had someone to talk to.	Tom toivoi että hänellä olisi joku jolle puhua.
Tom made the situation worse.	Tomi pahensi tilannetta.
It's really important.	Se on todella tärkeää.
Cut it out.	Lopeta!
Tom didn't wait.	Tom ei odottanut.
You're completely crazy.	Sä oot täysin hullu.
Here, try this.	Tässä, kokeilepa tätä.
One of my major complaints about the iPhone is that it doesn't support Flash.	Yksi minun suurimmista iPhoneen liittyvistä valituksen aiheistani on se, ettei se tue Flashia.
Do all of you speak French?	Puhutteko te kaikki ranskaa?
Africa is a continent, but Greenland is not.	Afrikka on manner, mutta Grönlanti ei ole.
You should've apologized to Tom for being late.	Sinun olisi pitänyt pahoitella Tomille sinun myöhästymistäsi.
Get serious.	Vakavoidu.
It's great to see you got home safely. How was Australia?	On hienoa nähdä sinun päässeen turvallisesti kotiin. Millaista oli Australiassa?
I'm twice your age.	Olen kaksi kertaa ikäisesi.
Do you have some dental floss?	Onko sinulla hammaslankaa?
Where have you been hiding?	Missä sinä olet piileskellyt?
I am sure.	Olen varma.
I eat here.	Syön täällä.
I wish I could explain it better, but I can't.	Toivoisin että voisin selittää sen paremmin, mutta en voi.
This is a dangerous thing.	Tämä on vaarallinen juttu.
There he is.	Siinä hän nyt on.
He was educated by her grandfather.	Hänen isoisänsä kasvatti hänet.
The bicycle is mine.	Pyörä on minun.
You won't be able to see anything without a flashlight.	Et pysty kyllä nähdä mitään ilman taskulamppua.
I want some money.	Haluan vähän rahaa.
Don't worry. I'll be careful.	Älä huoli. Olen varovainen.
He has poor eyesight.	Hänellä on huono näkö.
The kids urged their father to leave quickly.	Lapset usuttivat isäänsä lähtemään nopeasti.
They stayed at a five-star hotel.	He asuivat viiden tähden hotellissa.
Tom considered changing his job.	Tom harkitsi työpaikkansa vaihtamista.
You just need to practice.	Sinun täytyy vain harjoitella.
Tom is kind.	Tom on kiltti.
I don't think Tom wants to see you again.	En usko, että Tom haluaa nähdä sinua enää.
I'm from Tokyo.	Minä olen Tokiosta.
Time is running short.	Aika käy vähiin.
I'm not overly concerned.	En ole kovin huolissani siitä.
Stop grumbling.	Lopeta marmatus.
Now that I am well again, I want to study space science in college.	Nyt kun olen taas terve, haluan opiskella avaruustutkimusta yliopistolla.
Maybe this isn't a bad thing.	Ehkä tämä ei ole huono asia.
Tom doesn't want to appear weak.	Tom ei halua vaikuttaa heikolta.
Life is never easy.	Elämä ei ole koskaan helppoa.
My uncle gave me a present.	Setäni antoi minulle lahjan.
She's busy.	Hänellä on kiire.
He filled the glass with wine.	Hän täytti lasin viinillä.
We're not as stupid as you thought, right?	Emme ole niin typeriä kuin luulit, eikö totta?
I don't know and I don't want to know.	En tiedä enkä haluakaan.
That wasn't my fault.	Se ei ollut minun vikani.
Our streets flood when we have rain.	Katumme tulvivat kun täällä sataa.
Tom often helps Mary.	Tom auttaa usein Marya.
Tom is no longer afraid.	Tomi ei ole enää peloissaan.
I'll buy it.	Minä ostan sen.
Do you often travel abroad?	Matkustatko usein ulkomaille?
Could you please give me back my key?	Voisitko palauttaa minulle avaimeni?
I have a few French books.	Minulla on muutama ranskalainen kirja.
I have the flu and I'm tired.	Minulla on flunssa ja olen väsynyt.
It really was a miracle.	Se oli tosiaankin ihme.
I'm kind of busy.	Olen melko kiireinen.
I decided to tell her that I love her.	Päätin kertoa hänelle rakastavani häntä.
It looks like we have a winner.	Taisimme löytää voittajan.
I found your cap.	Löysin lakkisi.
May I touch these?	Saanko koskea näihin?
Does this dress look good on me?	Näyttääkö tämä mekko hyvältä päälläni?
Maybe that's not the problem.	Ehkä se ei ole ongelma.
You're a very handsome young man.	Olet todella komea nuorimies.
Who wants to take you home?	Kuka haluaa viedä sinut kotiin?
I am convinced of your innocence.	Olen vakuuttunut viattomuudestanne.
I like to watch TV.	Minä pidän TV:n katselusta.
The federal budget was narrowly approved by Congress.	Kongressi hyväksyi täpärästi liittovaltion budjetin.
This means a lot to me.	Tämä on minulle todella tärkeää.
I've enjoyed working with you.	Olen nauttinut kanssasi työskentelystä.
I don't need him anymore.	En tarvitse häntä enää.
I wish you'd said that before.	Olisitpa sanonut tuon aiemmin.
I'm willing to try anything.	Olen halukas yrittämään mitä tahansa.
Is Tom adopted?	Onko Tom adoptoitu?
Come on, let's go.	Vauhtia, mennään.
We got married.	Menimme naimisiin.
If God did not exist, it would be necessary to invent him.	Jos Jumalaa ei olisi olemassa, olisi tarpeellista keksiä Hänet.
Their houses are located near the sea.	Heidän talonsa sijaitsevat lähellä merta.
Admission is free, but donations are welcome.	Sisäänpääsy on ilmainen, mutta lahjoitukset ovat tervetulleita.
It's too late now.	On liian myöhäistä nyt.
Tom is a professional killer.	Tom on ammattitappaja.
I'm sorry I startled you.	Anteeksi, että säikäytin sinut.
How long did you stay?	Kuinka pitkään olit siellä?
A healthy man does not know the value of health.	Terve mies ei osaa arvostaa terveyttä.
As soon as the door opened, they ran away.	Heti kun ovi aukesi, he juoksivat pakoon.
Does Tom have a girlfriend?	Onko Tomilla tyttöystävää?
Could you give me a little help?	Voisitko auttaa minua vähän?
The patient's condition changes from day to day.	Potilaan vointi vaihtelee päivittäin.
What happened to Tom? Is he dead?	Mitä Tomille tapahtui? Onko hän kuollut?
You shouldn't lie to me.	Sinun ei pitäisi valehdella minulle.
Do you eat meat or are you a vegetarian?	Syötkö lihaa vai oletko vegetariaani?
Tom went to his room.	Tom meni huoneeseensa.
Let me tell you about a girl I met yesterday.	Kuulepa kun kerron eilen tapaamastani tytöstä.
What do you want for breakfast?	Mitä haluat aamiaiseksi?
What's the problem here?	Mikä täällä on hätänä?
That sounds pretty dumb.	Se kuulosta aika tyhmältä.
A mosquito just bit me.	Hyttynen pisti minua juuri.
Tom asked Mary if she'd help him.	Tom kysyi Marilta auttaisiko hän häntä.
Smoking does damage your lungs.	Tupakointi vahingoittaa keuhkojasi.
I'm at the airport.	Olen lentokentällä.
Tom amused the children.	Tom huvitutti lapsia.
The box is light enough for a child to carry.	Rasia on kyllin kevyt lapsen kantaa.
Tom didn't resist.	Tom ei vastustellut.
Tom will change.	Tom tulee muuttumaan.
Do you know how to cook rice well?	Tiedätkö miten keitetään hyvin riisiä?
My plan is to spend the New Year's holiday in Australia.	Suunnitelmissani on viettää uudenvuodenpyhät Australiassa.
They say that Hungarian is one of the most difficult languages in the world.	Unkarin sanotaan olevan maailman vaikeimpien kielien joukossa.
Is that from Tom?	Onko tuo Tomilta?
Why did you ask for it?	Miksi sinä pyysit sitä?
I'll be there in five minutes.	Olen siellä viiden minuutin päästä.
Stay in there.	Pysy siellä!
Do you think I'm that stupid?	Olenko sinusta tyhmä?
I was never told that I needed a visa.	Kukaan ei kertonut minulle viisumin tarpeesta.
Nothing got ruined.	Mikään ei mennyt pilalle.
She walked slowly through the park to show off her new hairstyle.	Hän käveli hitaasti puiston läpi esitellen ylpeänä uutta hiustyyliään.
I haven't always lived like this.	En ole aina elänyt näin.
She was wearing a red blouse.	Hänellä oli päällä punainen pusero.
I'll have to work harder on my Japanese studies.	Minun täytyy tehdä kovemmin töitä japanin opintojeni eteen.
Don't look so worried.	Älä näytä noin huolestuneelta.
The washing machine is a wonderful invention.	Pyykkikone on mahtava keksintö.
Maybe he's dead.	Ehkä hän on kuollut.
I do not think so.	Olen eri mieltä.
Promise me you won't make fun of me.	Lupaa, ettet pidä minua pilkkanasi.
Tom wanted to leave.	Tom halusi lähteä.
What are you hiding?	Mitä sinä salailet?
I have an orange and an apple.	Minulla on appelsiini ja omena.
I'm employed by a French lawyer.	Olen töissä ranskalaisella asianajajalla.
Your creativity never ceases to amaze me.	Luovuutesi ei koskaan lakkaa ällistyttämästä minua.
We speak French at home.	Me puhumme ranskaa kotona.
They're blue.	Ne ovat sinisiä.
Would you mind turning down the radio?	Voisitko hiljentää radiota?
Why should I help you?	Miksi minä auttaisin sinua?
The argument lasted a long time because nobody would admit to being in the wrong.	Väittely kesti pitkän aikaa, koska kukaan ei myöntänyt olevansa väärässä.
I saw Tom kissing John's wife.	Näin Tomin pussailevan Jonin vaimon kanssa.
Mom, that hairstyle makes you look old.	Mutsi, toi kampaus saa sut näyttämään vanhalta.
Some people claim to know everything.	Jotkut ihmiset väittävät tietävänsä kaiken.
How late is it?	Miten myöhä on?
Tom told me he was interested in visiting Australia.	Tom kertoi minulle, että kiinnostaisi Australiassa käyminen.
He has two cars.	Hänellä on kaksi autoa.
Tom never read the book that Mary gave him.	Tom ei koskaan lukenut Maryn hänelle antamaa kirjaa.
I reckon it's about time I went home.	Arvelen, että alkaa olla aika minun lähteä kotiin.
I knew this was too good to be true.	Tiesin, että tämä oli liian hyvä ollakseen totta.
I like him best of all the teachers.	Pidän hänestä kaikista opettajista eniten.
They rejected your plan.	He hylkäsivät suunnitelmasi.
Some Asian men wear makeup.	Osa aasialaisista miehistä käyttää meikkiä.
That is too expensive.	Se on liian kallista.
Tom carried Mary on his back.	Tomi kantoi Maria selässään.
May I turn on the radio?	Saanko laittaa radion päälle?
Have you told anyone where our hideout is?	Oletko kertonut kenellekään missä piilopaikka on?
Tom moved closer to Mary.	Tomi siirtyi lähemmäksi Maria.
We're sure that it was an accident.	Me olemme varmoja, että se oli vahinko.
I now live in Helsinki, but I'm originally from Kuopio.	Asun nyt Helsingissä, mutta olen kotoisin Kuopiosta.
They won't give themselves up.	He eivät antaudu.
You may leave now.	Saat lähteä nyt.
See you on the train.	Nähdään junassa.
These scissors don't cut well.	Nämä sakset eivät leikkaa hyvin.
Tom has no savings.	Tomilla ei ole säästöjä.
Cheer up.	Piristy!
He's here to spy on us.	Hän täällä vakoilemassa meitä.
You have to have a piece of pie.	Sinun tulee saada palanen piirakkaa.
Where did I put that box?	Mihin minä panin sen laatikon?
At last, we made contact with the police.	Lopultakin otimme yhteyttä poliisiin.
Did you notice anything out of the ordinary?	Huomasitko mitään tavanomaisesta poikkeavaa?
I haven't read the final page of the novel yet.	En ole lukenut vielä romaanin viimeistä sivua.
The two countries have broken off diplomatic relations.	Kaksi maata ovat katkaisseet diplimaattisuhteensa.
It's the first house after you turn the corner.	Se on ensimmäinen talo, kun käännyt kulman ympäri.
The girl is smelling the flowers.	Tyttö nuuhkii kukkia.
I'm sorry, but my mother is out at the moment.	Anteeksi, mutta äitini ei ole nyt kotona.
Wipe your feet before coming in.	Pyyhkikää jalkanne ennen kuin tulette sisälle.
She succeeded in opening the box.	Hän onnistui avaamaan laatikon.
Your eggs are getting cold.	Munasi jäähtyvät.
He cannot stop her.	Hän ei pysty pysäyttämään häntä.
Tom's illness resulted from eating too much.	Tomin sairaus oli seurausta liiallisesta syömisestä.
Is there anything you can tell us about Tom that we don't already know?	Onko mitään sellaista asiaa Tomista, minkä voit kertoa meille, mutta jota emme jo tiedä?
